t=2024-11-12T14:52:53-0700 lvl=info msg="open config file" path=/home/student/Desktop/Advanced-Netman/ngrok_config.yml err=nil
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=5c06ff4499db l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=47418814909f l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=4ade6e0ed7c4 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=e109d3ccba90 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=c9c0022ef18b l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=d18e31684b08 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=36d7dc4c2704 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=4d205fb30595 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=ff6c838209f0 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=4a63a74a4f55 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=e672166f9e29 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=da123606068f l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=71400697cd1d l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=4ccc421d3b99 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=92863d1a9c3c l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=642465ebfdf5 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=70fecffc4204 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:08-0700 lvl=info msg="join connections" obj=join id=e5be5bd2e26d l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:14-0700 lvl=info msg="join connections" obj=join id=508f7bc66e86 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:03:53-0700 lvl=info msg="join connections" obj=join id=9b73e8b9d361 l=127.0.0.1:8080 r=140.82.115.113:39832
t=2024-11-12T16:04:00-0700 lvl=info msg="join connections" obj=join id=add60bddd132 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:02-0700 lvl=info msg="join connections" obj=join id=81ebf2daddcf l=127.0.0.1:8080 r=128.138.64.27:48493
t=2024-11-12T16:04:02-0700 lvl=info msg="join connections" obj=join id=bcc82d322a1a l=127.0.0.1:8080 r=128.138.64.27:36433
t=2024-11-12T16:04:45-0700 lvl=info msg="join connections" obj=join id=904007e0582e l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:45-0700 lvl=info msg="join connections" obj=join id=462e9075e2fc l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:45-0700 lvl=info msg="join connections" obj=join id=ef7f26c8e9a0 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:45-0700 lvl=info msg="join connections" obj=join id=9a2ba50ddffe l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:46-0700 lvl=info msg="join connections" obj=join id=fb846c4b6277 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:46-0700 lvl=info msg="join connections" obj=join id=12e686605788 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:46-0700 lvl=info msg="join connections" obj=join id=e7194c763c6d l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:46-0700 lvl=info msg="join connections" obj=join id=ab59d129395d l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:46-0700 lvl=info msg="join connections" obj=join id=965e3d5eb1ed l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:46-0700 lvl=info msg="join connections" obj=join id=4854d9d1879c l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:46-0700 lvl=info msg="join connections" obj=join id=66e7ec7672fb l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:46-0700 lvl=info msg="join connections" obj=join id=fc8081feebcd l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:46-0700 lvl=info msg="join connections" obj=join id=d9689964484d l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:04:46-0700 lvl=info msg="join connections" obj=join id=0769c5f3c49f l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:05:51-0700 lvl=info msg="join connections" obj=join id=75d1b83cdef4 l=127.0.0.1:8080 r=140.82.115.62:51550
t=2024-11-12T16:06:00-0700 lvl=info msg="join connections" obj=join id=245daf062f94 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:00-0700 lvl=info msg="join connections" obj=join id=97617b5bb2de l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:00-0700 lvl=info msg="join connections" obj=join id=3e495cd4fad6 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:00-0700 lvl=info msg="join connections" obj=join id=c531bd178b40 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:00-0700 lvl=info msg="join connections" obj=join id=427d4e0c2818 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:00-0700 lvl=info msg="join connections" obj=join id=60e6c507b8dc l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:00-0700 lvl=info msg="join connections" obj=join id=e2445da5a0eb l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:00-0700 lvl=info msg="join connections" obj=join id=dd24b18fb7f5 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:00-0700 lvl=info msg="join connections" obj=join id=3362aa6ced88 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:00-0700 lvl=info msg="join connections" obj=join id=3ad0e16828b2 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:00-0700 lvl=info msg="join connections" obj=join id=6ccc53e55a3e l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:00-0700 lvl=info msg="join connections" obj=join id=6c71f8bccda3 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:46-0700 lvl=info msg="join connections" obj=join id=89e897ec1207 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=52e626232fed l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=38bb6ab94356 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=e5e73e7e98b0 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=52fbdc7b9096 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=8103646ad3d5 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=6ef864398d9d l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=139713f6d58f l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=26683166f4ab l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=86023c1a30bb l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=137032ba559f l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=cf62c45f02a2 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=ee4cd632ed9b l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=f4e36acbf8ac l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=f06216430c08 l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:06:50-0700 lvl=info msg="join connections" obj=join id=50867b66d71d l=127.0.0.1:8080 r=128.138.64.27:35547
t=2024-11-12T16:07:29-0700 lvl=info msg="join connections" obj=join id=9bafc52fa16e l=127.0.0.1:8080 r=128.138.64.27:37977
t=2024-11-12T16:07:29-0700 lvl=info msg="join connections" obj=join id=cdc27fe0e75d l=127.0.0.1:8080 r=128.138.64.27:37977
t=2024-11-12T16:07:29-0700 lvl=info msg="join connections" obj=join id=0e940e877f5a l=127.0.0.1:8080 r=128.138.64.27:37977
t=2024-11-12T16:07:30-0700 lvl=info msg="join connections" obj=join id=250452341135 l=127.0.0.1:8080 r=128.138.64.27:44448
t=2024-11-12T16:07:30-0700 lvl=info msg="join connections" obj=join id=ebb1b0de9833 l=127.0.0.1:8080 r=128.138.64.27:44448
t=2024-11-12T16:10:14-0700 lvl=warn msg="failed to open private leg" id=61cc46916818 privaddr=localhost:8080 err="dial tcp 127.0.0.1:8080: connect: connection refused"
t=2024-11-12T16:16:01-0700 lvl=info msg="join connections" obj=join id=b4af144fe4cf l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=d496723b0d5b l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=09407ef502b0 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=2d58f286f826 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=b2bfe8efa0f8 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=c2a9bb29e67c l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=a885a0f5804b l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=13e69f7c1f6a l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=939617e2c9d2 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=f319a84cb7d4 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=278c13f5b34f l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=ebdef2cc7739 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=49eba8585673 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=eabea64125eb l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=129df4b4cef1 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=9a1d6f8540b7 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=b417308f6eb0 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=c1c3aa649be8 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=5f058a1bea57 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=6040f8c5e891 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=5e9ff34c6866 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=88069f9bf4e5 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=40e97169baca l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=5027253c5b32 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=22c70b474ab6 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=99da7eaa6a30 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=81f7a58db7f1 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=1b7d8b13804c l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=6375f964ce42 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:15-0700 lvl=info msg="join connections" obj=join id=3f3e22dbf8b9 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=ffb3d04468ee l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=3fb85b273807 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=2de4bac219d6 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=07010ec38a78 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=471d68a75f09 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=ab19df307b4d l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=ff7ef55ff042 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=d94a303e9489 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=e2c9c4004e15 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:25-0700 lvl=info msg="join connections" obj=join id=8e94d3122a39 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:29-0700 lvl=info msg="join connections" obj=join id=5444741f388c l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:29-0700 lvl=info msg="join connections" obj=join id=37d13d479a80 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:29-0700 lvl=info msg="join connections" obj=join id=5010317a1635 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:29-0700 lvl=info msg="join connections" obj=join id=7a3c22af4921 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:29-0700 lvl=info msg="join connections" obj=join id=69f40eb091c0 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:29-0700 lvl=info msg="join connections" obj=join id=2a6079e3d1df l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:33-0700 lvl=info msg="join connections" obj=join id=21cec2954cfd l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:33-0700 lvl=info msg="join connections" obj=join id=1bc68d45de62 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:33-0700 lvl=info msg="join connections" obj=join id=d8b7579063c0 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:33-0700 lvl=info msg="join connections" obj=join id=49a9508ded5f l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:58-0700 lvl=info msg="join connections" obj=join id=e23884f1a243 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:19:21-0700 lvl=info msg="join connections" obj=join id=fde8d86b4a45 l=127.0.0.1:8080 r=140.82.115.162:65494
t=2024-11-12T16:19:43-0700 lvl=info msg="join connections" obj=join id=0eaf3fe081a4 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:26:01-0700 lvl=info msg="join connections" obj=join id=61d78a58f547 l=127.0.0.1:8080 r=128.138.64.27:42478
t=2024-11-12T16:26:01-0700 lvl=info msg="join connections" obj=join id=f74e5f23dd4c l=127.0.0.1:8080 r=128.138.64.27:42478
t=2024-11-12T16:37:33-0700 lvl=info msg="join connections" obj=join id=b8a9e6219f02 l=127.0.0.1:8080 r=140.82.115.11:49256
t=2024-11-12T16:38:23-0700 lvl=info msg="join connections" obj=join id=c3e3d72e7638 l=127.0.0.1:8080 r=140.82.115.79:43854
t=2024-11-12T16:38:32-0700 lvl=info msg="join connections" obj=join id=ad684277c756 l=127.0.0.1:8080 r=128.138.64.27:52678
t=2024-11-12T16:38:32-0700 lvl=info msg="join connections" obj=join id=2b112bdcbf14 l=127.0.0.1:8080 r=128.138.64.27:63449
t=2024-11-12T16:38:43-0700 lvl=info msg="join connections" obj=join id=3566a1677cf1 l=127.0.0.1:8080 r=128.138.64.27:53083
t=2024-11-12T16:38:53-0700 lvl=info msg="join connections" obj=join id=f9da3332361f l=127.0.0.1:8080 r=128.138.64.27:34132
t=2024-11-12T16:41:01-0700 lvl=info msg="join connections" obj=join id=c7a45ccf3c45 l=127.0.0.1:8080 r=128.138.64.27:46529
t=2024-11-12T16:41:02-0700 lvl=info msg="join connections" obj=join id=e8f31777ea7f l=127.0.0.1:8080 r=128.138.64.27:46529
t=2024-11-12T16:43:00-0700 lvl=info msg="join connections" obj=join id=3f3d8f96ae36 l=127.0.0.1:8080 r=128.138.64.27:46529
t=2024-11-12T16:44:37-0700 lvl=info msg="join connections" obj=join id=2615e1d51224 l=127.0.0.1:8080 r=140.82.115.42:61620
t=2024-11-12T16:44:47-0700 lvl=info msg="join connections" obj=join id=3851895d98dd l=127.0.0.1:8080 r=128.138.64.27:48037
t=2024-11-12T16:44:47-0700 lvl=info msg="join connections" obj=join id=c7149c65fd46 l=127.0.0.1:8080 r=128.138.64.27:46529
t=2024-11-12T16:44:47-0700 lvl=info msg="join connections" obj=join id=9d8e8901c0b7 l=127.0.0.1:8080 r=128.138.64.27:42043
